Pclass,Sex,Age,SibSp,Parch,Survived
3,0,22.000000,1,0,0
1,1,38.000000,1,0,1
3,1,26.000000,0,0,1
1,1,35.000000,1,0,1
3,0,35.000000,0,0,0
3,0,32.000000,0,0,0
1,0,54.000000,0,0,0
3,0,2.000000,3,1,0
3,1,27.000000,0,2,1
2,1,14.000000,1,0,1
3,1,4.000000,1,1,1
1,1,58.000000,0,0,1
3,0,20.000000,0,0,0
3,0,39.000000,1,5,0
3,1,14.000000,0,0,0
2,1,55.000000,0,0,1
3,0,2.000000,4,1,0
2,0,62.000000,0,0,1
3,1,31.000000,1,0,0
3,1,63.000000,0,0,1
2,0,35.000000,0,0,0
2,0,34.000000,0,0,1
3,1,15.000000,0,0,1
1,0,28.000000,0,0,1
3,1,8.000000,3,1,0
3,1,38.000000,1,5,1
3,0,32.000000,0,0,0
1,0,19.000000,3,2,0
3,1,63.000000,0,0,1
3,0,32.000000,0,0,0
1,0,40.000000,0,0,0
1,1,60.000000,1,0,1
3,1,63.000000,0,0,1
2,0,66.000000,0,0,0
1,0,28.000000,1,0,0
1,0,42.000000,1,0,0
3,0,30.000000,0,0,1
3,0,21.000000,0,0,0
3,1,18.000000,2,0,0
3,1,14.000000,1,0,1
3,1,40.000000,1,0,0
2,1,27.000000,1,0,0
3,0,32.000000,0,0,0
2,1,3.000000,1,2,1
3,1,19.000000,0,0,1
3,0,32.000000,0,0,0
3,0,25.000000,1,0,0
3,1,63.000000,0,0,1
3,0,41.000000,2,0,0
3,1,18.000000,1,0,0
3,0,7.000000,4,1,0
3,0,21.000000,0,0,0
1,1,49.000000,1,0,1
2,1,29.000000,1,0,1
1,0,65.000000,0,1,0
1,0,48.000000,0,0,1
2,1,21.000000,0,0,1
3,0,28.500000,0,0,0
2,1,5.000000,1,2,1
3,0,11.000000,5,2,0
3,0,22.000000,0,0,0
1,1,38.000000,0,0,1
1,0,45.000000,1,0,0
3,0,4.000000,3,2,0
1,0,39.000000,0,0,0
3,0,20.000000,1,1,1
2,1,29.000000,0,0,1
3,0,19.000000,0,0,0
3,1,17.000000,4,2,1
3,0,26.000000,2,0,0
2,0,32.000000,0,0,0
3,1,16.000000,5,2,0
2,0,21.000000,0,0,0
3,0,26.000000,1,0,0
3,0,32.000000,0,0,1
3,0,25.000000,0,0,0
3,0,32.000000,0,0,0
3,0,32.000000,0,0,0
2,0,0.830000,0,2,1
3,1,30.000000,0,0,1
3,0,22.000000,0,0,0
3,0,29.000000,0,0,1
3,1,63.000000,0,0,1
1,0,28.000000,0,0,0
2,1,17.000000,0,0,1
3,1,33.000000,3,0,1
3,0,16.000000,1,3,0
3,0,32.000000,0,0,0
1,1,23.000000,3,2,1
3,0,24.000000,0,0,0
3,0,29.000000,0,0,0
3,0,20.000000,0,0,0
1,0,46.000000,1,0,0
3,0,26.000000,1,2,0
3,0,59.000000,0,0,0
3,0,32.000000,0,0,0
1,0,71.000000,0,0,0
1,0,23.000000,0,1,1
2,1,34.000000,0,1,1
2,0,34.000000,1,0,0
3,1,28.000000,0,0,0
3,0,32.000000,0,0,0
1,0,21.000000,0,1,0
3,0,33.000000,0,0,0
3,0,37.000000,2,0,0
3,0,28.000000,0,0,0
3,1,21.000000,0,0,1
3,0,30.000000,0,0,1
3,0,38.000000,0,0,0
3,1,15.000000,1,0,1
1,0,47.000000,0,0,0
3,1,14.500000,1,0,0
3,0,22.000000,0,0,0
3,1,20.000000,1,0,0
3,1,17.000000,0,0,0
3,0,21.000000,0,0,0
3,0,70.500000,0,0,0
2,0,29.000000,1,0,0
1,0,24.000000,0,1,0
3,1,2.000000,4,2,0
2,0,21.000000,2,0,0
3,0,32.000000,0,0,0
2,0,32.500000,1,0,0
2,1,32.500000,0,0,1
1,0,54.000000,0,1,0
3,0,12.000000,1,0,1
3,0,32.000000,0,0,0
3,0,24.000000,0,0,1
3,1,35.000000,1,1,1
3,0,45.000000,0,0,0
3,0,33.000000,0,0,0
3,0,20.000000,0,0,0
3,1,47.000000,1,0,0
2,1,29.000000,1,0,1
2,0,25.000000,0,0,0
2,0,23.000000,0,0,0
1,1,19.000000,0,2,1
1,0,37.000000,1,0,0
3,0,16.000000,0,0,0
1,0,24.000000,0,0,0
3,1,41.000000,0,2,0
3,1,22.000000,0,0,1
3,1,24.000000,1,0,1
3,0,19.000000,0,0,0
2,0,18.000000,0,0,0
2,0,19.000000,1,1,0
3,0,27.000000,0,0,1
3,1,9.000000,2,2,0
2,0,36.500000,0,2,0
2,0,42.000000,0,0,0
2,0,51.000000,0,0,0
1,1,22.000000,1,0,1
3,0,55.500000,0,0,0
3,0,40.500000,0,2,0
3,0,32.000000,0,0,0
1,0,51.000000,0,1,0
3,1,16.000000,0,0,1
3,0,30.000000,0,0,0
3,0,32.000000,0,0,0
3,0,0.000000,8,2,0
3,0,44.000000,0,1,0
2,1,40.000000,0,0,1
3,0,26.000000,0,0,0
3,0,17.000000,0,0,0
3,0,1.000000,4,1,0
3,0,9.000000,0,2,1
1,1,58.000000,0,1,1
3,1,45.000000,1,4,0
1,0,39.000000,0,0,0
3,0,28.000000,0,0,0
1,0,61.000000,0,0,0
3,0,4.000000,4,1,0
3,1,1.000000,1,1,1
3,0,21.000000,0,0,0
1,0,56.000000,0,0,0
3,0,18.000000,1,1,0
3,0,14.000000,3,1,0
1,1,50.000000,0,0,0
2,0,30.000000,0,0,0
3,0,36.000000,0,0,0
3,1,0.000000,8,2,0
2,0,39.000000,0,0,0
